CFA_F65_69,0.427,Demographic
CFA_F70_74,0.52,Demographic
CFA_F75_79,0.613,Demographic
CFA_F80_84,0.762,Demographic
CFA_F85_89,0.942,Demographic
CFA_F90_94,1.087,Demographic
CFA_F95_GT,1.158,Demographic
CFA_M65_69,0.478,Demographic
CFA_M70_74,0.597,Demographic
CFA_M75_79,0.724,Demographic
CFA_M80_84,0.837,Demographic
CFA_M85_89,1.058,Demographic
CFA_M90_94,1.22,Demographic
CFA_M95_GT,1.359,Demographic
CFA_OriginallyDisabled_Female,0.168,Entitlement Class
CFA_OriginallyDisabled_Male,0.18,Entitlement Class
CFA_HCC1,0.604,Clinical
CFA_HCC2,0.534,Clinical
CFA_HCC6,0.592,Clinical
CFA_HCC8,2.551,Clinical
CFA_HCC9,1.007,Clinical
CFA_HCC10,0.714,Clinical
CFA_HCC11,0.311,Clinical
CFA_HCC12,0.161,Clinical
CFA_HCC17,0.344,Clinical
CFA_HCC18,0.344,Clinical
CFA_HCC19,0.108,Clinical
CFA_HCC21,0.788,Clinical
CFA_HCC22,0.389,Clinical
CFA_HCC23,0.228,Clinical
CFA_HCC27,1.136,Clinical
CFA_HCC28,0.421,Clinical
CFA_HCC29,0.04,Clinical
CFA_HCC33,0.289,Clinical
CFA_HCC34,0.373,Clinical
CFA_HCC35,0.287,Clinical
CFA_HCC39,0.588,Clinical
CFA_HCC40,0.374,Clinical
CFA_HCC46,1.237,Clinical
CFA_HCC47,0.476,Clinical
CFA_HCC48,0.249,Clinical
CFA_HCC54,0.709,Clinical
CFA_HCC55,0.524,Clinical
CFA_HCC56,0.524,Clinical
CFA_HCC57,0.697,Clinical
CFA_HCC58,0.697,Clinical
CFA_HCC59,0.365,Clinical
CFA_HCC60,0.365,Clinical
CFA_HCC70,1.141,Clinical
CFA_HCC71,0.968,Clinical
CFA_HCC72,0.568,Clinical
CFA_HCC73,1.139,Clinical
CFA_HCC74,0,Clinical
CFA_HCC75,0.43,Clinical
CFA_HCC76,0.409,Clinical
CFA_HCC77,0.774,Clinical
CFA_HCC78,0.715,Clinical
CFA_HCC79,0.308,Clinical
CFA_HCC80,0.592,Clinical
CFA_HCC82,2.198,Clinical
CFA_HCC83,0.954,Clinical
CFA_HCC84,0.517,Clinical
CFA_HCC85,0.355,Clinical
