DI_F0_34,0.598,Demographic
DI_F35_44,0.598,Demographic
DI_F45_54,0.598,Demographic
DI_F55_59,0.606,Demographic
DI_F60_64,0.619,Demographic
DI_F65_69,0.686,Demographic
DI_F70_74,0.702,Demographic
DI_F75_79,0.717,Demographic
DI_F80_84,0.739,Demographic
DI_F85_89,0.745,Demographic
DI_F90_94,0.745,Demographic
DI_F95_GT,0.745,Demographic
DI_M0_34,0.589,Demographic
DI_M35_44,0.589,Demographic
DI_M45_54,0.589,Demographic
DI_M55_59,0.599,Demographic
DI_M60_64,0.609,Demographic
DI_M65_69,0.661,Demographic
DI_M70_74,0.686,Demographic
DI_M75_79,0.695,Demographic
DI_M80_84,0.736,Demographic
DI_M85_89,0.752,Demographic
DI_M90_94,0.752,Demographic
DI_M95_GT,0.752,Demographic
DI_MCAID_Female_Aged,0.052,Demographic
DI_MCAID_Female_NonAged,0.057,Demographic
DI_MCAID_Male_Aged,0.065,Demographic
DI_MCAID_Male_NonAged,0.033,Demographic
DI_OriginallyDisabled_Female,0.049,Entitlement Class
DI_OriginallyDisabled_Male,0.045,Entitlement Class
DI_Originally_ESRD_Female,-0.062,Entitlement Class
DI_Originally_ESRD_Male,-0.045,Entitlement Class
DI_HCC1,0.171,Clinical
DI_HCC2,0.077,Clinical
DI_HCC6,0.08,Clinical
DI_HCC8,0.251,Clinical
DI_HCC9,0.172,Clinical
DI_HCC10,0.106,Clinical
DI_HCC11,0.058,Clinical
DI_HCC12,0.031,Clinical
DI_HCC17,0.202,Clinical
DI_HCC18,0.087,Clinical
DI_HCC19,0.075,Clinical
DI_HCC21,0.037,Clinical
DI_HCC22,0.132,Clinical
DI_HCC23,0.004,Clinical
DI_HCC27,0.201,Clinical
DI_HCC28,0.085,Clinical
DI_HCC29,0.053,Clinical
DI_HCC33,0.057,Clinical
DI_HCC34,0.039,Clinical
DI_HCC35,0.056,Clinical
DI_HCC39,0.068,Clinical
DI_HCC40,0.075,Clinical
DI_HCC46,0.148,Clinical
DI_HCC47,0.031,Clinical
DI_HCC48,0.076,Clinical
DI_HCC51,0.127,Clinical
DI_HCC52,0.06,Clinical
DI_HCC54,0,Clinical
DI_HCC55,0,Clinical
DI_HCC57,0.136,Clinical
DI_HCC58,0.084,Clinical
DI_HCC70,0.206,Clinical
DI_HCC71,0.206,Clinical
DI_HCC72,0.105,Clinical
DI_HCC73,0,Clinical
DI_HCC74,0.068,Clinical
DI_HCC75,0.056,Clinical
DI_HCC76,0,Clinical
DI_HCC77,0.069,Clinical
DI_HCC78,0.055,Clinical
DI_HCC79,0.069,Clinical
DI_HCC80,0.118,Clinical
DI_HCC82,0.295,Clinical
DI_HCC83,0.114,Clinical
DI_HCC84,0.062,Clinical
DI_HCC85,0.072,Clinical
DI_HCC86,0.092,Clinical
DI_HCC87,0.092,Clinical
DI_HCC88,0.044,Clinical
DI_HCC96,0.071,Clinical
DI_HCC99,0.077,Clinical
DI_HCC100,0.077,Clinical
DI_HCC103,0.076,Clinical
DI_HCC104,0.076,Clinical
DI_HCC106,0.279,Clinical
DI_HCC107,0.084,Clinical
DI_HCC108,0.051,Clinical
DI_HCC110,0.065,Clinical
DI_HCC111,0.065,Clinical
DI_HCC112,0.054,Clinical
DI_HCC114,0.081,Clinical
DI_HCC115,0.015,Clinical
DI_HCC122,0,Clinical
DI_HCC124,0,Clinical
DI_HCC157,0.171,Clinical
DI_HCC158,0.171,Clinical
DI_HCC160,0.171,Clinical
DI_HCC161,0.118,Clinical
DI_HCC162,0.049,Clinical
DI_HCC166,0.118,Clinical
DI_HCC167,0.015,Clinical
DI_HCC169,0.05,Clinical
DI_HCC170,0.04,Clinical
DI_HCC173,0.041,Clinical
DI_HCC176,0,Clinical
DI_HCC186,0.159,Clinical
DI_HCC188,0.047,Clinical
DI_HCC189,0.114,Clinical
DI_SEPSIS_CARD_RESP_FAIL,0.1,Demographic
DI_CANCER_IMMUNE,0.093,Demographic
DI_DIABETES_CHF,0.02,Demographic
DI_CHF_COPD,0.018,Demographic
DI_COPD_CARD_RESP_FAIL,0.013,Demographic
DI_NONAGED_HCC6,0.074,Clinical
DI_NONAGED_HCC34,0.116,Clinical
DI_NONAGED_HCC46,0.038,Clinical
DI_NONAGED_HCC54,0.166,Clinical
DI_NONAGED_HCC55,0.166,Clinical
DI_NONAGED_HCC110,0.369,Clinical
DI_NONAGED_HCC176,0.046,Clinical
DI_HCC134,0,Clinical
DI_HCC135,0,Clinical
DI_HCC136,0,Clinical
DI_HCC137,0,Clinical
DI_HCC138,0,Clinical
DI_HCC139,0,Clinical
DI_HCC140,0,Clinical
DI_HCC141,0,Clinical
DI_HCC159,0.171,Clinical
DNE_NEF0_34,0.848,Demographic
DNE_NEF35_44,0.848,Demographic
DNE_NEF45_54,0.848,Demographic
DNE_NEF55_59,0.883,Demographic
DNE_NEF60_64,0.902,Demographic
DNE_NEF65_69,1.021,Demographic
DNE_NEF70_74,1.065,Demographic
DNE_NEF75_79,1.123,Demographic
DNE_NEF80_84,1.128,Demographic
DNE_NEF85_GT,1.142,Demographic
DNE_NEM0_34,0.735,Demographic
DNE_NEM35_44,0.775,Demographic
DNE_NEM45_54,0.811,Demographic
DNE_NEM55_59,0.843,Demographic
DNE_NEM60_64,0.867,Demographic
DNE_NEM65_69,0.974,Demographic
DNE_NEM70_74,1.03,Demographic
DNE_NEM75_79,1.072,Demographic
DNE_NEM80_84,1.105,Demographic
DNE_NEM85_GT,1.12,Demographic
DNE_NEMedicaid_Female_Aged,0.099,Demographic
DNE_NEMedicaid_Female_NonAged,0.118,Demographic
DNE_NEMedicaid_Male_Aged,0.114,Demographic
DNE_NEMedicaid_Male_NonAged,0.107,Demographic
DNE_ORIGDIS_FEMALE_LT65,0.227,Demographic
DNE_ORIGDIS_FEMALE_GE65,0.227,Demographic
DNE_ORIGDIS_MALE_LT65,0.222,Demographic
DNE_ORIGDIS_MALE_GE65,0.222,Demographic
GC_F0_34,0.198,Demographic
GC_F35_44,0.212,Demographic
GC_F45_54,0.274,Demographic
GC_F55_59,0.359,Demographic
GC_F60_64,0.416,Demographic
GC_F65_69,0.283,Demographic
GC_F70_74,0.346,Demographic
GC_F75_79,0.428,Demographic
GC_F80_84,0.517,Demographic
GC_F85_89,0.632,Demographic
GC_F90_94,0.755,Demographic
GC_F95_GT,0.775,Demographic
GC_M0_34,0.079,Demographic
GC_M35_44,0.119,Demographic
GC_M45_54,0.165,Demographic
GC_M55_59,0.292,Demographic
GC_M60_64,0.332,Demographic
GC_M65_69,0.309,Demographic
GC_M70_74,0.378,Demographic
GC_M75_79,0.464,Demographic
GC_M80_84,0.565,Demographic
GC_M85_89,0.647,Demographic
GC_M90_94,0.776,Demographic
GC_M95_GT,0.963,Demographic
GC_MCAID_Female_Aged,0.213,Demographic
GC_MCAID_Female_NonAged,0.104,Demographic
GC_MCAID_Male_Aged,0.21,Demographic
GC_MCAID_Male_NonAged,0.113,Demographic
GC_OriginallyDisabled_Female,0.244,Entitlement Class
GC_OriginallyDisabled_Male,0.171,Entitlement Class
GC_HCC1,0.492,Clinical
GC_HCC2,0.52,Clinical
GC_HCC6,0.557,Clinical
GC_HCC8,2.425,Clinical
GC_HCC9,1.006,Clinical
GC_HCC10,0.695,Clinical
GC_HCC11,0.33,Clinical
GC_HCC12,0.18,Clinical
GC_HCC17,0.344,Clinical
GC_HCC18,0.344,Clinical
GC_HCC19,0.124,Clinical
GC_HCC21,0.653,Clinical
GC_HCC22,0.342,Clinical
GC_HCC23,0.24,Clinical
GC_HCC27,1.003,Clinical
GC_HCC28,0.425,Clinical
GC_HCC29,0.313,Clinical
GC_HCC33,0.337,Clinical
GC_HCC34,0.257,Clinical
GC_HCC35,0.279,Clinical
GC_HCC39,0.423,Clinical
GC_HCC40,0.376,Clinical
GC_HCC46,1.078,Clinical
GC_HCC47,0.306,Clinical
GC_HCC48,0.258,Clinical
GC_HCC51,0.616,Clinical
GC_HCC52,0.343,Clinical
GC_HCC54,0.358,Clinical
GC_HCC55,0.358,Clinical
GC_HCC57,0.471,Clinical
GC_HCC58,0.318,Clinical
GC_HCC70,1.075,Clinical
GC_HCC71,0.868,Clinical
GC_HCC72,0.441,Clinical
GC_HCC73,1.016,Clinical
GC_HCC74,0.036,Clinical
GC_HCC75,0.281,Clinical
GC_HCC76,0.46,Clinical
GC_HCC77,0.482,Clinical
GC_HCC78,0.555,Clinical
GC_HCC79,0.252,Clinical
GC_HCC80,0.533,Clinical
GC_HCC82,1.732,Clinical
GC_HCC83,0.769,Clinical
